name,_id,host_name,location_cluster,location,lat,lon,type_house,sum,min_days,amt_reviews,last_dt,avg_reviews,total_host,target
Comfortable room/close to Manhattan,87397826,Monica,Queens,Long Island City,40.75608,-73.93048,Private room,110,4,5,2019-01-04,0.24,2,0
2 bedrooms apartment 10 minutes from Manhattan,38908498,Jasmine,Queens,Long Island City,40.76506,-73.93234,Entire home/apt,65,15,1,2018-03-04,0.06,1,0
Sunny Artist PH - Williamsburg  w/PrivateTerrace,58179165,Meg,Brooklyn,Williamsburg,40.71175,-73.96728,Entire home/apt,225,1,6,2018-10-07,0.28,1,89
Modern 2 bedroom Upper East Side apartment.,103152379,Kate,Manhattan,Upper East Side,40.76195,-73.96056,Entire home/apt,199,3,22,2019-07-01,1.58,1,329
Charming Clinton Hill One-Bedroom Apartment,123690850,Ani,Brooklyn,Clinton Hill,40.6873,-73.966,Entire home/apt,92,10,4,2019-06-13,0.17,1,0
Sunny Flat in NYC,11121151,Christina,Manhattan,Upper West Side,40.7958,-73.97163,Private room,69,2,0,,,1,0
Simple Suite with Private Bathroom,65258815,Mrs. Alabi,Brooklyn,Crown Heights,40.6736,-73.92612,Entire home/apt,60,2,23,2019-06-27,6.22,2,33
"Luxury, Zen 1BR in N Williamsburg",2823757,Meg,Brooklyn,Williamsburg,40.71719,-73.95427,Entire home/apt,109,2,4,2018-12-09,0.36,1,0
Doorman 44Th st& 2nd! UN Doorman Studio Gym 5226,16098958,Jeremy & Laura,Manhattan,Midtown,40.75047,-73.96935,Entire home/apt,140,30,2,2019-06-02,0.26,96,311
Cozy Studio Apartment in East Village,51969502,Jenny,Manhattan,East Village,40.7289,-73.98865,Private room,53,3,1,2018-03-16,0.06,1,0
Private Bedroom Near Manhattan NYC,22384027,Shahana,Brooklyn,Crown Heights,40.67115,-73.91621,Private room,39,1,70,2019-06-21,1.51,10,33
Whole apartment in Williamsburg 1 block to train,130774060,Fanny,Brooklyn,Williamsburg,40.70959,-73.95747,Entire home/apt,165,6,10,2019-05-15,0.39,1,18
Private Room + Balcony in Bushwick.,5352610,Mira,Brooklyn,Williamsburg,40.70585,-73.92698,Private room,69,5,6,2019-05-07,0.1,2,0
Cozy Room with Exposed Bricks,27054429,Hien,Manhattan,Two Bridges,40.71063,-73.99526,Private room,90,10,133,2019-06-22,2.64,1,81
"Basic, convenient, private in Crown Heights",77181668,Molly,Brooklyn,Crown Heights,40.6717,-73.93593,Entire home/apt,120,6,0,,,1,5
Luxury 1BR in NYC + Great Amenities & Rooftop Ter.,30283594,Kara,Manhattan,Chelsea,40.75121,-73.99812,Entire home/apt,169,30,1,2017-11-20,0.05,121,282
Bright & Spacious,34387513,Michael,Queens,Long Island City,40.7583,-73.9315,Private room,225,1,0,,,1,365
Private Sunny Mid-century Feng Shui Apartment,22336312,Chiroy,Manhattan,Washington Heights,40.83469,-73.94604,Entire home/apt,129,2,13,2019-05-25,1.63,2,0
Spacious Bedroom in Williamsburg Loft.,10846328,Luis,Brooklyn,Williamsburg,40.71296,-73.95088,Private room,60,4,0,,,2,0
"Cozy, sunny oasis in the heart of Crown Heights",57456594,Lisa,Brooklyn,Crown Heights,40.67713,-73.95219,Private room,75,2,18,2019-06-05,1.44,1,242
huge sunny 1 bed Times Square!!!!!!,914838,Lior,Manhattan,Hell's Kitchen,40.76382,-73.99498,Entire home/apt,140,30,3,2019-05-07,0.08,7,365
"Eclectic, Comfortable, Quiet & Convenient on UWS",62641345,Bob,Manhattan,Upper West Side,40.7975,-73.97161,Entire home/apt,199,2,83,2019-06-30,3.01,1,37
Large Room in a Huge NY apartment.,1452026,Heidi,Queens,Astoria,40.77117,-73.91905,Private room,30,5,3,2017-06-20,0.03,1,0
94TH STREET BIG 1BR SUITE WITH DOORMAN-GYM,123745971,Especial,Manhattan,Upper East Side,40.78213,-73.94839,Private room,500,2,0,,,6,351
Sunny Parlor Apt in Flatbush Townhouse (furnished),10285950,Christina,Brooklyn,Flatbush,40.64493,-73.95488,Entire home/apt,85,6,14,2019-03-24,0.53,3,339
Jazzy cool sunshine,24796602,Wesly/Jessica,Brooklyn,Crown Heights,40.6718,-73.92678,Private room,55,2,34,2019-05-29,1.99,4,341
Large DT Bedroom! - TriBeCa/Financial  Manhattan!,69545272,Ben,Manhattan,Financial District,40.71085,-74.0083,Private room,59,13,24,2019-05-14,0.68,2,166
NYC From Astoria Queens,75443454,Ana,Queens,Ditmars Steinway,40.77293,-73.91846,Private room,100,3,34,2019-04-15,0.92,2,161
Lovely Bedroom in heart of East Village,23089531,Caitlin,Manhattan,East Village,40.72771,-73.98983,Private room,100,2,66,2019-06-12,2.39,3,27
1st floor room in the heart of Williamsburg,12584768,Blake,Brooklyn,Williamsburg,40.71139,-73.96353,Private room,75,1,0,,,1,0
Spacious Private Bedroom+Bathroom !,7577024,Daphne,Manhattan,Harlem,40.82875,-73.94574,Private room,100,1,0,,,1,0
Stunning bedroom in the best neighborhood of NYC,13001035,Montserrat,Manhattan,Midtown,40.756,-73.97078,Private room,122,3,19,2018-11-24,0.67,1,0
Luxury Gramercy Lg 1Bd w Balcony,8457613,Erin,Manhattan,Gramercy,40.73494,-73.98751,Entire home/apt,250,365,0,,,1,365
Spacious 1 bedroom off Prospect Pk,746006,Paul,Brooklyn,Prospect-Lefferts Gardens,40.66249,-73.95841,Entire home/apt,90,2,3,2018-06-04,0.1,1,0
Amazing View in East Williamsburg ,21937306,William,Brooklyn,Williamsburg,40.71752,-73.94187,Shared room,150,1,0,,,1,0
3 Bedroom Apartment near Central Park,10689761,Hannah,Manhattan,Upper West Side,40.79599,-73.96659,Entire home/apt,600,30,0,,,1,319
Charming 3bed/2 bath Apt near Central Park,230481249,Yocasta,Manhattan,East Harlem,40.80239,-73.9425,Entire home/apt,155,2,18,2019-07-02,2.73,1,123
Beautiful Park Slope Designer Condo,14244557,Diego,Brooklyn,Park Slope,40.66519,-73.97793,Entire home/apt,250,9,1,2019-01-07,0.16,1,251
Cute & Cozy Studio in the BEST part of BK,7505271,Simone,Brooklyn,Greenpoint,40.72586,-73.94466,Private room,99,1,8,2018-12-30,0.92,1,0
"Luxury apartment in the heart of Bedstuy, Brooklyn",78432713,Inna,Brooklyn,Bedford-Stuyvesant,40.69004,-73.95224,Private room,42,7,1,2019-06-04,0.83,1,21
"West 33rd street, Lux 1bd Serviced Apartment**",22541573,Ken,Manhattan,Chelsea,40.75286,-73.99551,Entire home/apt,239,30,0,,,87,364
Elegant Triplex Townhouse,7821383,Gary,Brooklyn,Prospect Heights,40.67454,-73.96803,Entire home/apt,550,1,24,2017-02-19,0.38,1,0
Brooklyn Garden Apartment,45763784,Julio,Brooklyn,Clinton Hill,40.68307,-73.96595,Entire home/apt,229,5,11,2019-05-28,1.22,2,0
Sunny room in Alphabet City,3563235,Andra,Manhattan,East Village,40.72135,-73.98,Private room,85,5,12,2016-09-06,0.2,1,0
Cozy Sunnyside room with a classic feel.,137358866,Kazuya,Queens,Sunnyside,40.74925,-73.91332,Private room,41,30,0,,,103,124
Midtown East Amazing 2BR Prime Area,256569979,Candice,Manhattan,Upper East Side,40.76163,-73.96523,Entire home/apt,149,30,1,2019-05-28,0.71,1,0
Large NYC room billionaires row 5 min CentralPark!,22101365,Natalie,Manhattan,Upper East Side,40.76404,-73.96547,Private room,99,3,79,2019-06-23,2.75,1,107
King Bedroom - Ideal for Business Travelers,1462483,Danny,Manhattan,Midtown,40.74585,-73.98237,Private room,100,4,32,2019-06-26,2.87,2,174
Quiet private retreat high above Brooklyn.,19293586,Adam,Brooklyn,Williamsburg,40.71759,-73.94388,Private room,100,2,19,2019-06-29,0.61,1,34
"Spacious, and lit 2 bedroom penthouse in the UWS",63510347,Inna,Manhattan,Upper West Side,40.79412,-73.96806,Entire home/apt,173,10,0,,,1,0
LARGE ROOM WITH PRIVATE ENTRANCE IN RIDGEWOOD,161346189,Patrick,Queens,Ridgewood,40.70771,-73.90486,Private room,40,14,0,,,1,342
Comfortable Shared Apt  In Midtown,175180318,Gúney,Manhattan,Hell's Kitchen,40.76534,-73.98701,Shared room,75,1,59,2019-06-30,3.64,6,362
Brooklyn Brownstone (Private Room),243639488,Joanna,Brooklyn,East Flatbush,40.64359,-73.94821,Private room,120,2,3,2019-06-30,2.0,1,180
ROOM AVAILABLE IN PERFECT FLAT,1511206,Mauricio,Manhattan,East Harlem,40.79912,-73.94187,Private room,150,2,1,2015-09-30,0.02,1,0
Sonder | Madison Ave | Airy 1BR + Gym,12243051,Sonder,Manhattan,Midtown,40.7469,-73.98438,Entire home/apt,239,29,0,,,96,305
Queens home in quiet neighborhood,155152907,Maria,Queens,St. Albans,40.70479,-73.76357,Private room,45,2,31,2019-06-30,2.8,2,266
Big apartment by Prospect Park 15 min to Manhattan,4982459,Mariana,Brooklyn,Flatbush,40.65333,-73.96552,Entire home/apt,350,3,0,,,3,0
"Comfy,  Convenient and a Balcony!",60802539,Hannah,Brooklyn,Crown Heights,40.67509,-73.9572,Entire home/apt,133,2,0,,,1,0
Central Park West Luxury One bedroom with Balcony,17477908,Mat,Manhattan,Upper West Side,40.79514,-73.96687,Entire home/apt,250,30,1,2018-09-02,0.1,10,205
Standard Room/kitchen (sleeps 3 ),51991283,Jennifer,Manhattan,Harlem,40.80057,-73.95468,Private room,179,1,2,2016-04-17,0.05,5,309
Lavender Joy Room in Duplex!,2219255,Natalie,Brooklyn,Canarsie,40.62897,-73.90334,Private room,39,5,105,2019-06-09,1.21,3,34
Spacious 1 BDRM w/ Backyard of DREAMS in Manhattan,6279234,Marissa,Manhattan,Harlem,40.80948,-73.95514,Entire home/apt,148,4,1,2019-07-08,1.0,1,8
Room in 4 bed 2 bath by J train with Queen bed,10387090,Luis Enrique,Brooklyn,Bedford-Stuyvesant,40.68296,-73.91255,Private room,36,15,1,2019-05-13,0.52,5,343
Large Modern Apartment w Backyard,8996900,Kristine,Brooklyn,Kensington,40.64735,-73.97611,Entire home/apt,150,4,1,2015-12-02,0.02,1,0
"Private, Sunny Room—Prime Williamsburg Condo/Loft",510745,Justin,Brooklyn,Williamsburg,40.7137,-73.94813,Private room,80,2,1,2017-10-20,0.05,2,0
Brownstone apartment in Bed Stuy,26295451,Jessica,Brooklyn,Bedford-Stuyvesant,40.68743,-73.93045,Private room,150,1,14,2017-05-21,0.4,1,0
A private bedroom in the heart of Manhattan,100836839,Elizabeth,Manhattan,Midtown,40.74983,-73.98646,Private room,70,5,1,2017-09-27,0.05,1,0
Large Williamsburg (Brooklyn) Room,20587549,Nick,Brooklyn,Williamsburg,40.70784,-73.94698,Private room,90,2,15,2019-06-30,0.41,1,188
Exquisite English Tudor with a touch of class,170445076,Sean,Queens,Queens Village,40.72249,-73.75486,Entire home/apt,200,2,58,2019-07-07,3.6,1,152
Loft Suite @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73857,-73.95299,Entire home/apt,199,3,54,2019-06-10,0.61,28,60
Comfortable Room in 3 Bedroom Apartment,38288406,Justin,Queens,Ridgewood,40.70063,-73.90474,Private room,30,15,0,,,1,0
Cozy room with Private porch,69977115,Jacob,Brooklyn,Bensonhurst,40.61649,-73.99043,Private room,79,2,1,2016-07-18,0.03,4,179
"Amazing 1 BR/BA in HARLEM, NY",110142237,Eric,Manhattan,Harlem,40.80487,-73.95752,Entire home/apt,90,3,32,2019-07-02,1.69,1,1
Spacious 2BR Manhattan/NYC  apt. Mins. to time sq.,55711801,Le,Manhattan,Harlem,40.82297,-73.94882,Entire home/apt,139,1,0,,,1,29
No.3,257683179,H Ai,Queens,Flushing,40.75019,-73.81435,Private room,45,1,1,2019-07-06,1.0,6,83
Stylish East Village Studio near Union Sq,3541594,Jennifer,Manhattan,East Village,40.73057,-73.99034,Entire home/apt,200,2,12,2019-06-09,1.52,1,0
Quiet & Close to All + Washer/Dryer in Chelsea,7245581,Michael,Manhattan,Chelsea,40.75045,-73.99662,Entire home/apt,93,110,12,2019-02-18,0.26,19,329
"Huge, Sunny, Open Loft in Brooklyn",1633100,Ana,Brooklyn,Bushwick,40.70462,-73.9228,Entire home/apt,120,2,42,2019-06-20,0.48,1,238
Water Front Duplex with Amazing Views and Parking.,132163538,Alex,Brooklyn,Bay Ridge,40.6348,-74.03788,Entire home/apt,155,28,0,,,1,339
Large bright room in Brooklyn artist's apartment!,6753972,July,Brooklyn,Bedford-Stuyvesant,40.68362,-73.95692,Private room,60,1,1,2019-05-26,0.67,1,95
"SHARE;Cheapest,Silent,Clean and Safe in New York",172837223,Erin V.,Queens,Sunnyside,40.73307,-73.91995,Shared room,30,1,51,2019-06-16,3.02,3,140
Room at 1br apt,7040483,Agata,Queens,Astoria,40.76107,-73.91364,Private room,69,5,20,2019-06-23,2.43,1,37
Fully-furnished modern apartment,97907084,Kim,Bronx,Wakefield,40.90281,-73.85201,Entire home/apt,28,1,0,,,1,0
Amazingly lit with views over entire manhattan.,4602926,Michael,Brooklyn,Clinton Hill,40.69325,-73.96732,Entire home/apt,175,2,0,,,1,6
"Beautiful, Comfortable Apt. in Convenient Location",182461,Jose,Queens,Ozone Park,40.67488,-73.85568,Entire home/apt,110,3,81,2019-06-30,3.33,2,9
Beautiful Chelsea townhouse bedroom,236668588,Jen,Manhattan,Chelsea,40.74679,-74.00263,Private room,115,1,3,2019-06-30,1.11,2,113
Nice bedroom in Brooklyn,97118521,Lara,Brooklyn,Bedford-Stuyvesant,40.69512,-73.94946,Private room,50,4,5,2019-04-27,0.23,1,0
Park Slope Brooklyn brownstone apt,7374372,Julie,Brooklyn,Park Slope,40.67374,-73.97976,Entire home/apt,149,6,108,2019-07-06,2.38,1,268
Private room in 3rd bedroom apt.,27212322,Krupa,Manhattan,Hell's Kitchen,40.75563,-73.99424,Private room,1450,1,0,,,1,0
Lahore Suite at Incentra Village House,241889662,Incentra,Manhattan,West Village,40.73897,-74.00346,Private room,999,1,3,2019-05-19,0.7,5,341
Charming Ground Floor,113558977,Joe,Queens,Rego Park,40.72651,-73.86173,Entire home/apt,40,1,101,2019-06-20,3.47,2,74
"2 Bedroom in Carroll Gardens West, minimum 1 month",101924,Seth,Brooklyn,Columbia St,40.68727,-74.00352,Entire home/apt,107,30,35,2019-07-04,0.55,1,18
Heart of Midtown Manhattan,260425153,Park Lane,Manhattan,Midtown,40.76395,-73.97622,Private room,450,1,3,2019-06-16,2.43,14,365
Sunny Private Sanctuary w High Ceilings,234270791,April G,Brooklyn,Bushwick,40.6961,-73.9307,Private room,64,3,1,2019-05-22,0.63,3,178
Beautiful duplex with terrace. Up to 6 people.,273347409,Alex,Manhattan,Financial District,40.70485,-74.00822,Entire home/apt,430,3,0,,,1,42
Astoria- Boho style bedroom with skylight,11406067,Karina,Queens,Ditmars Steinway,40.77376,-73.90484,Private room,80,2,17,2019-06-24,1.36,1,24
☆☆New Discount☆☆ Beautiful Room / Next to Subway,3233986,Daniel,Queens,Astoria,40.75703,-73.91666,Private room,61,4,107,2019-06-22,1.29,2,335
Cozy Artists Apartment in Central Harlem,218793561,Dmitri,Manhattan,East Harlem,40.80771,-73.93853,Private room,66,1,21,2019-06-20,2.63,1,64
"Great Private Room in Midtown, great Location!",193364875,Silva,Manhattan,Hell's Kitchen,40.76311,-73.98704,Private room,98,2,64,2019-07-05,5.65,1,54
Prime Carroll Gardens Apartment,35027358,Thomas,Brooklyn,Carroll Gardens,40.68268,-73.99687,Entire home/apt,172,2,90,2019-06-30,2.31,1,87
Cozy clean quiet room with lock and key #1,146132198,Ronald And Cookie,Bronx,Wakefield,40.89393,-73.8581,Private room,50,2,14,2019-07-01,3.59,2,132
"Bright, spacious room with breakfast in New York",218762580,Heidrun,Manhattan,Harlem,40.8258,-73.95392,Private room,120,3,3,2019-03-26,0.36,1,295
THE WHITE HOUSE BEDROOM 2,269775225,Dennis,Bronx,Port Morris,40.80087,-73.91635,Private room,100,3,0,,,2,365
Nice and quiet apt Bdway/Times Sq.,44530717,Vincent,Manhattan,Hell's Kitchen,40.75965,-73.99035,Entire home/apt,224,6,1,2016-05-30,0.03,1,0
Beautiful private bedroom in UES/East Harlem,41348157,Petra,Manhattan,East Harlem,40.7929,-73.9391,Private room,90,2,2,2019-06-23,2.0,3,0
Sunny Loft in Clinton Hill,11458977,Robin,Brooklyn,Clinton Hill,40.68699,-73.9639,Entire home/apt,120,3,88,2019-06-26,2.04,1,49
Cozy with Great location !!!,43719073,Nora,Brooklyn,Sheepshead Bay,40.59878,-73.95425,Shared room,35,1,104,2019-07-08,2.45,5,352
Large BR in Spacious Artist Loft,7519175,Ira,Brooklyn,Bushwick,40.7066,-73.92115,Private room,75,3,0,,,1,0
Beautiful 2bdr apt in Brooklyn near to everything.,43803591,Anna,Brooklyn,Fort Hamilton,40.61257,-74.03598,Entire home/apt,135,5,31,2019-06-02,2.16,1,151
Your NYC HOME! LRG 1 BED APT 20min from Manhattan,161497828,Matias,Brooklyn,Prospect-Lefferts Gardens,40.65534,-73.95644,Entire home/apt,100,2,2,2018-01-02,0.11,1,95
Life Is Beautiful near Central Park,4350664,Denia,Manhattan,East Harlem,40.79636,-73.94342,Private room,89,5,62,2019-07-02,1.82,1,271
"Cozy BR in Hamilton Heights, Harlem",9915185,Sarah,Manhattan,Harlem,40.82301,-73.94907,Private room,65,2,2,2015-10-12,0.04,1,0
15 min to Manhattan! 6-20 July discountprice 1200,16562278,Александрина,Queens,Astoria,40.75998,-73.926,Entire home/apt,150,1,1,2019-07-03,1.0,1,5
AMAZING 1 BR APT LES/Chinatown NYC,39938343,Aleksey,Manhattan,Lower East Side,40.71813,-73.99231,Entire home/apt,145,6,13,2018-06-03,0.27,1,0
Garden Oasis Apartment - 2 bedroom,22088164,Julia,Manhattan,East Harlem,40.80751,-73.94097,Entire home/apt,200,3,162,2019-06-15,2.84,1,208
Great Room in Manhattan,184398500,Ernesto,Manhattan,East Harlem,40.80026,-73.94398,Private room,75,1,2,2018-10-07,0.19,1,0
East Village Penthouse - Master Bedroom (Loft),16866,Nicholas,Manhattan,East Village,40.72979,-73.983,Private room,149,2,9,2019-06-09,0.37,2,0
UWS STUDIO,26624082,Maurine,Manhattan,Upper West Side,40.78885,-73.98013,Entire home/apt,90,4,1,2016-03-26,0.03,1,0
large room and convenient to train and JFK. #4,82367658,John,Queens,Richmond Hill,40.68985,-73.82003,Private room,40,3,7,2019-06-13,0.38,5,313
shared apt only for female  near Times Square,251510391,Demir,Manhattan,Hell's Kitchen,40.76461,-73.98745,Shared room,65,1,0,,,3,365
Sun-drenched Artist Loft,101618737,Sihan,Brooklyn,Bushwick,40.69273,-73.90719,Private room,80,3,0,,,2,140
