name,_id,host_name,location_cluster,location,lat,lon,type_house,sum,min_days,amt_reviews,last_dt,avg_reviews,total_host,target
Charming West Village Studio,39541748.0,Marcello,2,West Village,40.73764,-73.99887,0,185.0,3.0,4.0,2015-09-18,0.08,1.0,0.0
"BKlyn:Artsy, old fashioned at affordable price !",5151544.0,Ale,1,Cypress Hills,40.68148,-73.8904,0,63.0,4.0,54.0,2019-07-07,1.71,1.0,344.0
Cute & Comfy Williamsburg Refuge,3826160.0,Josh & Chris,1,Williamsburg,40.71032,-73.9517,1,80.0,1.0,215.0,2019-06-29,4.68,1.0,232.0
Next to Central Park,2653479.0,Brian,2,Upper West Side,40.79505,-73.96382,1,90.0,2.0,2.0,2019-04-17,0.59,4.0,43.0
Apartment with terrasse greenpoint brooklyn,1818225.0,Amael,1,Greenpoint,40.72212,-73.9378,0,80.0,3.0,0.0,2019-06-23,0.72,1.0,0.0
Cozy Corner In Heart of Manhattan,155125855.0,Vicente,2,Midtown,40.74669,-73.98311,2,65.0,1.0,76.0,2018-09-12,3.97,3.0,0.0
Apartment in Centre of New York City,36938850.0,Luke,2,Hell's Kitchen,40.76591,-73.99155,0,150.0,30.0,1.0,2019-06-21,1.0,1.0,15.0
Huge Sunny Private Room in Bushwick,26260328.0,Alec,1,Bushwick,40.70206,-73.91342,1,45.0,7.0,1.0,2016-02-16,0.02,1.0,0.0
Sun-drenched Executive Suite 1,215387072.0,Mr. G,1,Bedford-Stuyvesant,40.68062,-73.91251,1,80.0,5.0,12.0,2019-07-02,1.28,3.0,354.0
Charming Bedroom in Cozy NYC Apt.,22350590.0,Veronica,2,Harlem,40.82351,-73.94047,1,85.0,10.0,57.0,2019-06-10,1.03,1.0,6.0
Premium Spot for female. Close to subway & Park,156114168.0,Kateryna,1,Prospect-Lefferts Gardens,40.66049,-73.96162,2,40.0,1.0,0.0,2019-06-23,0.72,6.0,211.0
Relaxing Retreat in Williamsburg,34236533.0,Stan,1,Williamsburg,40.70851,-73.94244,1,130.0,5.0,102.0,2019-07-01,2.48,1.0,288.0
Spacious 1BR Williamsburg Apartment,18994094.0,Kailei,1,Williamsburg,40.71214,-73.95837,0,175.0,2.0,28.0,2019-04-22,0.7,1.0,0.0
Beautiful Lower East Side 1 Bedroom Loft,7737249.0,Casandra,2,Chinatown,40.71558,-73.99136,0,325.0,30.0,76.0,2019-05-05,3.27,2.0,294.0
Super Cozy Room in Floor Through Apartment,5532810.0,Sandy,1,Williamsburg,40.71731,-73.943,1,50.0,2.0,42.0,2018-11-24,1.33,2.0,244.0
Cozy Doorman! On Broadway!Gym 5111,16098958.0,Jeremy & Laura,2,Upper West Side,40.7918,-73.97413,0,135.0,30.0,6.0,2019-05-15,0.16,96.0,311.0
Prime East Village 1 Bedroom,146944.0,David,2,East Village,40.72807,-73.98594,0,200.0,3.0,0.0,2019-06-23,0.72,1.0,0.0
"LOVELY 1 BEDROOM APT, BATH + KIT+ LIVING ROOM",10355206.0,Rosa,3,Ridgewood,40.70493,-73.90795,0,75.0,30.0,64.0,2015-11-02,0.95,1.0,178.0
Private Bedroom in Midtown West with River View,18567068.0,Evelyn,2,Hell's Kitchen,40.76201,-73.99876,1,150.0,3.0,4.0,2018-07-09,0.31,1.0,0.0
5 min walk to Times Square! Sleeps 4!,8208493.0,Teresa,2,Hell's Kitchen,40.76235,-73.98872,0,175.0,1.0,179.0,2019-07-07,5.71,1.0,116.0
Great room for students and tourists,127583166.0,Maite,2,Washington Heights,40.8398,-73.94384,1,55.0,21.0,8.0,2018-11-18,0.52,2.0,38.0
"Relaxing, comfy, and stress-free apartment.",138962369.0,Eugenia,0,Edenwald,40.89039,-73.83186,0,50.0,3.0,8.0,2019-07-07,3.04,1.0,34.0
Astoria Queens great room for rent!,24109809.0,Jonathon,3,Astoria,40.77271,-73.93159,1,200.0,1.0,0.0,2019-06-23,0.72,1.0,0.0
Modern Upper West Side Luxury!!,9143200.0,Steven,2,Upper West Side,40.79466,-73.97173,0,160.0,3.0,2.0,2016-06-13,0.05,1.0,0.0
Cozy Escape in the thriving heart of Bed-Stuy,241940624.0,Beryl,1,Bedford-Stuyvesant,40.68529,-73.94028,0,130.0,2.0,9.0,2019-07-07,2.93,1.0,301.0
Beautiful Apartment in the Heart of Chelsea,8008110.0,Erika,2,Chelsea,40.74672,-74.00187,0,195.0,6.0,33.0,2019-05-20,1.36,1.0,1.0
SLEEK WEST VILLAGE ARTIST STUDIO LOFT,2484654.0,Michele,2,West Village,40.73214,-74.00188,0,130.0,4.0,22.0,2019-05-26,0.28,1.0,77.0
LOVE Central Park Room Private Bath,25517905.0,Andreias,2,Upper West Side,40.79632,-73.96225,1,99.0,1.0,222.0,2019-06-20,4.56,3.0,251.0
"Private, comfy BR in East Village",5904463.0,Katherine,2,East Village,40.72504,-73.98242,1,100.0,1.0,0.0,2019-06-23,0.72,4.0,0.0
Room on the garden in co-op brownstone,6556741.0,Thomas,1,Bedford-Stuyvesant,40.68041,-73.95579,1,58.0,4.0,0.0,2019-06-23,0.72,4.0,29.0
Cute & Cozy NYC Room - Hell's Kitchen (dog in apt),3576466.0,Kevin,2,Hell's Kitchen,40.76422,-73.99382,1,75.0,2.0,176.0,2019-06-21,2.22,2.0,23.0
2 Bedroom in Hudson Heights ,18051675.0,Alexandra,2,Washington Heights,40.85153,-73.93815,0,150.0,3.0,0.0,2019-06-23,0.72,1.0,0.0
2br in Manhattan NY ,10577253.0,Nataly,2,Harlem,40.81217,-73.95303,0,150.0,1.0,3.0,2016-01-02,0.05,1.0,0.0
Studio Apartment in Astoria - Best Location!,50770601.0,Diana,3,Astoria,40.76871,-73.91839,0,169.0,1.0,8.0,2019-04-24,0.62,5.0,297.0
Charming Quiet & Bright Studio -LES,23638897.0,Adrien,2,Lower East Side,40.71849,-73.98334,0,140.0,5.0,2.0,2018-01-01,0.05,1.0,0.0
The Omaric,53560822.0,Desmond,2,Harlem,40.82425,-73.9552,0,95.0,2.0,49.0,2019-07-02,1.92,1.0,14.0
Bohemian W'Burg Duplex,8677042.0,Malcolm,1,Williamsburg,40.7086,-73.94715,0,241.0,2.0,1.0,2018-12-26,0.15,1.0,0.0
NYC Full Studio Walkable to Central Park,5138621.0,Clare,2,Upper East Side,40.77619,-73.95106,0,140.0,2.0,1.0,2016-11-07,0.03,1.0,0.0
"Sunny, Beautiful, Upper East Side TRUE One Bedroom",23377863.0,Kristen,2,Upper East Side,40.78056,-73.95182,0,147.0,4.0,9.0,2019-07-05,0.47,1.0,7.0
Warm Cozy Decatur 2F bedroom #4,262033253.0,Jenny,1,Bushwick,40.68747,-73.90977,1,70.0,1.0,2.0,2019-06-24,2.0,2.0,172.0
Mi hermoso hogar a 4 bloques del AirPort LGA,171107511.0,Paola,3,East Elmhurst,40.76393,-73.86444,1,80.0,2.0,1.0,2018-10-07,0.11,1.0,219.0
Cozy Garden Apartment in Bushwick!!,24269297.0,Caitlin,1,Bushwick,40.69935,-73.9228,1,75.0,3.0,41.0,2019-06-25,0.81,1.0,294.0
Amazing Private Room - Custom Style,83809962.0,Tamara,1,East Flatbush,40.66248,-73.92855,1,45.0,1.0,39.0,2019-06-12,1.27,2.0,365.0
NYC Manhattan Private Room,258247777.0,Claudio,2,Harlem,40.81548,-73.94556,1,135.0,3.0,6.0,2019-06-10,2.86,3.0,247.0
LES Minimalistic Studio,65356318.0,Tiffani,2,Lower East Side,40.71891,-73.99095,0,125.0,4.0,37.0,2019-06-15,1.05,1.0,0.0
Rose's Brooklyn Oasis - Close to Subway!,268757078.0,Vinette,1,East Flatbush,40.6456,-73.95065,1,40.0,1.0,1.0,2019-06-30,1.0,2.0,151.0
Comfortable room/close to Manhattan,87397826.0,Monica,3,Long Island City,40.75608,-73.93048,1,110.0,4.0,5.0,2019-01-04,0.24,2.0,0.0
2 bedrooms apartment 10 minutes from Manhattan,38908498.0,Jasmine,3,Long Island City,40.76506,-73.93234,0,65.0,15.0,1.0,2018-03-04,0.06,1.0,0.0
Sunny Artist PH - Williamsburg  w/PrivateTerrace,58179165.0,Meg,1,Williamsburg,40.71175,-73.96728,0,225.0,1.0,6.0,2018-10-07,0.28,1.0,89.0
Modern 2 bedroom Upper East Side apartment.,103152379.0,Kate,2,Upper East Side,40.76195,-73.96056,0,199.0,3.0,22.0,2019-07-01,1.58,1.0,329.0
Charming Clinton Hill One-Bedroom Apartment,123690850.0,Ani,1,Clinton Hill,40.6873,-73.966,0,92.0,10.0,4.0,2019-06-13,0.17,1.0,0.0
Sunny Flat in NYC,11121151.0,Christina,2,Upper West Side,40.7958,-73.97163,1,69.0,2.0,0.0,2019-06-23,0.72,1.0,0.0
Simple Suite with Private Bathroom,65258815.0,Mrs. Alabi,1,Crown Heights,40.6736,-73.92612,0,60.0,2.0,23.0,2019-06-27,6.22,2.0,33.0
"Luxury, Zen 1BR in N Williamsburg",2823757.0,Meg,1,Williamsburg,40.71719,-73.95427,0,109.0,2.0,4.0,2018-12-09,0.36,1.0,0.0
Doorman 44Th st& 2nd! UN Doorman Studio Gym 5226,16098958.0,Jeremy & Laura,2,Midtown,40.75047,-73.96935,0,140.0,30.0,2.0,2019-06-02,0.26,96.0,311.0
Cozy Studio Apartment in East Village,51969502.0,Jenny,2,East Village,40.7289,-73.98865,1,53.0,3.0,1.0,2018-03-16,0.06,1.0,0.0
Private Bedroom Near Manhattan NYC,22384027.0,Shahana,1,Crown Heights,40.67115,-73.91621,1,39.0,1.0,70.0,2019-06-21,1.51,10.0,33.0
Whole apartment in Williamsburg 1 block to train,130774060.0,Fanny,1,Williamsburg,40.70959,-73.95747,0,165.0,6.0,10.0,2019-05-15,0.39,1.0,18.0
Private Room + Balcony in Bushwick.,5352610.0,Mira,1,Williamsburg,40.70585,-73.92698,1,69.0,5.0,6.0,2019-05-07,0.1,2.0,0.0
Cozy Room with Exposed Bricks,27054429.0,Hien,2,Two Bridges,40.71063,-73.99526,1,90.0,10.0,133.0,2019-06-22,2.64,1.0,81.0
"Basic, convenient, private in Crown Heights",77181668.0,Molly,1,Crown Heights,40.6717,-73.93593,0,120.0,6.0,0.0,2019-06-23,0.72,1.0,5.0
Luxury 1BR in NYC + Great Amenities & Rooftop Ter.,30283594.0,Kara,2,Chelsea,40.75121,-73.99812,0,169.0,30.0,1.0,2017-11-20,0.05,121.0,282.0
Bright & Spacious,34387513.0,Michael,3,Long Island City,40.7583,-73.9315,1,225.0,1.0,0.0,2019-06-23,0.72,1.0,365.0
Private Sunny Mid-century Feng Shui Apartment,22336312.0,Chiroy,2,Washington Heights,40.83469,-73.94604,0,129.0,2.0,13.0,2019-05-25,1.63,2.0,0.0
Spacious Bedroom in Williamsburg Loft.,10846328.0,Luis,1,Williamsburg,40.71296,-73.95088,1,60.0,4.0,0.0,2019-06-23,0.72,2.0,0.0
"Cozy, sunny oasis in the heart of Crown Heights",57456594.0,Lisa,1,Crown Heights,40.67713,-73.95219,1,75.0,2.0,18.0,2019-06-05,1.44,1.0,242.0
huge sunny 1 bed Times Square!!!!!!,914838.0,Lior,2,Hell's Kitchen,40.76382,-73.99498,0,140.0,30.0,3.0,2019-05-07,0.08,7.0,365.0
"Eclectic, Comfortable, Quiet & Convenient on UWS",62641345.0,Bob,2,Upper West Side,40.7975,-73.97161,0,199.0,2.0,83.0,2019-06-30,3.01,1.0,37.0
Large Room in a Huge NY apartment.,1452026.0,Heidi,3,Astoria,40.77117,-73.91905,1,30.0,5.0,3.0,2017-06-20,0.03,1.0,0.0
94TH STREET BIG 1BR SUITE WITH DOORMAN-GYM,123745971.0,Especial,2,Upper East Side,40.78213,-73.94839,1,500.0,2.0,0.0,2019-06-23,0.72,6.0,351.0
Sunny Parlor Apt in Flatbush Townhouse (furnished),10285950.0,Christina,1,Flatbush,40.64493,-73.95488,0,85.0,6.0,14.0,2019-03-24,0.53,3.0,339.0
Jazzy cool sunshine,24796602.0,Wesly/Jessica,1,Crown Heights,40.6718,-73.92678,1,55.0,2.0,34.0,2019-05-29,1.99,4.0,341.0
Large DT Bedroom! - TriBeCa/Financial  Manhattan!,69545272.0,Ben,2,Financial District,40.71085,-74.0083,1,59.0,13.0,24.0,2019-05-14,0.68,2.0,166.0
NYC From Astoria Queens,75443454.0,Ana,3,Ditmars Steinway,40.77293,-73.91846,1,100.0,3.0,34.0,2019-04-15,0.92,2.0,161.0
Lovely Bedroom in heart of East Village,23089531.0,Caitlin,2,East Village,40.72771,-73.98983,1,100.0,2.0,66.0,2019-06-12,2.39,3.0,27.0
1st floor room in the heart of Williamsburg,12584768.0,Blake,1,Williamsburg,40.71139,-73.96353,1,75.0,1.0,0.0,2019-06-23,0.72,1.0,0.0
Spacious Private Bedroom+Bathroom !,7577024.0,Daphne,2,Harlem,40.82875,-73.94574,1,100.0,1.0,0.0,2019-06-23,0.72,1.0,0.0
Stunning bedroom in the best neighborhood of NYC,13001035.0,Montserrat,2,Midtown,40.756,-73.97078,1,122.0,3.0,19.0,2018-11-24,0.67,1.0,0.0
Luxury Gramercy Lg 1Bd w Balcony,8457613.0,Erin,2,Gramercy,40.73494,-73.98751,0,250.0,365.0,0.0,2019-06-23,0.72,1.0,365.0
Spacious 1 bedroom off Prospect Pk,746006.0,Paul,1,Prospect-Lefferts Gardens,40.66249,-73.95841,0,90.0,2.0,3.0,2018-06-04,0.1,1.0,0.0
Amazing View in East Williamsburg ,21937306.0,William,1,Williamsburg,40.71752,-73.94187,2,150.0,1.0,0.0,2019-06-23,0.72,1.0,0.0
3 Bedroom Apartment near Central Park,10689761.0,Hannah,2,Upper West Side,40.79599,-73.96659,0,600.0,30.0,0.0,2019-06-23,0.72,1.0,319.0
Charming 3bed/2 bath Apt near Central Park,230481249.0,Yocasta,2,East Harlem,40.80239,-73.9425,0,155.0,2.0,18.0,2019-07-02,2.73,1.0,123.0
Beautiful Park Slope Designer Condo,14244557.0,Diego,1,Park Slope,40.66519,-73.97793,0,250.0,9.0,1.0,2019-01-07,0.16,1.0,251.0
Cute & Cozy Studio in the BEST part of BK,7505271.0,Simone,1,Greenpoint,40.72586,-73.94466,1,99.0,1.0,8.0,2018-12-30,0.92,1.0,0.0
"Luxury apartment in the heart of Bedstuy, Brooklyn",78432713.0,Inna,1,Bedford-Stuyvesant,40.69004,-73.95224,1,42.0,7.0,1.0,2019-06-04,0.83,1.0,21.0
"West 33rd street, Lux 1bd Serviced Apartment**",22541573.0,Ken,2,Chelsea,40.75286,-73.99551,0,239.0,30.0,0.0,2019-06-23,0.72,87.0,364.0
Elegant Triplex Townhouse,7821383.0,Gary,1,Prospect Heights,40.67454,-73.96803,0,550.0,1.0,24.0,2017-02-19,0.38,1.0,0.0
Brooklyn Garden Apartment,45763784.0,Julio,1,Clinton Hill,40.68307,-73.96595,0,229.0,5.0,11.0,2019-05-28,1.22,2.0,0.0
Sunny room in Alphabet City,3563235.0,Andra,2,East Village,40.72135,-73.98,1,85.0,5.0,12.0,2016-09-06,0.2,1.0,0.0
Cozy Sunnyside room with a classic feel.,137358866.0,Kazuya,3,Sunnyside,40.74925,-73.91332,1,41.0,30.0,0.0,2019-06-23,0.72,103.0,124.0
Midtown East Amazing 2BR Prime Area,256569979.0,Candice,2,Upper East Side,40.76163,-73.96523,0,149.0,30.0,1.0,2019-05-28,0.71,1.0,0.0
Large NYC room billionaires row 5 min CentralPark!,22101365.0,Natalie,2,Upper East Side,40.76404,-73.96547,1,99.0,3.0,79.0,2019-06-23,2.75,1.0,107.0
King Bedroom - Ideal for Business Travelers,1462483.0,Danny,2,Midtown,40.74585,-73.98237,1,100.0,4.0,32.0,2019-06-26,2.87,2.0,174.0
Quiet private retreat high above Brooklyn.,19293586.0,Adam,1,Williamsburg,40.71759,-73.94388,1,100.0,2.0,19.0,2019-06-29,0.61,1.0,34.0
"Spacious, and lit 2 bedroom penthouse in the UWS",63510347.0,Inna,2,Upper West Side,40.79412,-73.96806,0,173.0,10.0,0.0,2019-06-23,0.72,1.0,0.0
LARGE ROOM WITH PRIVATE ENTRANCE IN RIDGEWOOD,161346189.0,Patrick,3,Ridgewood,40.70771,-73.90486,1,40.0,14.0,0.0,2019-06-23,0.72,1.0,342.0
Comfortable Shared Apt  In Midtown,175180318.0,Gúney,2,Hell's Kitchen,40.76534,-73.98701,2,75.0,1.0,59.0,2019-06-30,3.64,6.0,362.0
Brooklyn Brownstone (Private Room),243639488.0,Joanna,1,East Flatbush,40.64359,-73.94821,1,120.0,2.0,3.0,2019-06-30,2.0,1.0,180.0
ROOM AVAILABLE IN PERFECT FLAT,1511206.0,Mauricio,2,East Harlem,40.79912,-73.94187,1,150.0,2.0,1.0,2015-09-30,0.02,1.0,0.0
Sonder | Madison Ave | Airy 1BR + Gym,12243051.0,Sonder,2,Midtown,40.7469,-73.98438,0,239.0,29.0,0.0,2019-06-23,0.72,96.0,305.0
Queens home in quiet neighborhood,155152907.0,Maria,3,St. Albans,40.70479,-73.76357,1,45.0,2.0,31.0,2019-06-30,2.8,2.0,266.0
Big apartment by Prospect Park 15 min to Manhattan,4982459.0,Mariana,1,Flatbush,40.65333,-73.96552,0,350.0,3.0,0.0,2019-06-23,0.72,3.0,0.0
"Comfy,  Convenient and a Balcony!",60802539.0,Hannah,1,Crown Heights,40.67509,-73.9572,0,133.0,2.0,0.0,2019-06-23,0.72,1.0,0.0
Central Park West Luxury One bedroom with Balcony,17477908.0,Mat,2,Upper West Side,40.79514,-73.96687,0,250.0,30.0,1.0,2018-09-02,0.1,10.0,205.0
Standard Room/kitchen (sleeps 3 ),51991283.0,Jennifer,2,Harlem,40.80057,-73.95468,1,179.0,1.0,2.0,2016-04-17,0.05,5.0,309.0
Lavender Joy Room in Duplex!,2219255.0,Natalie,1,Canarsie,40.62897,-73.90334,1,39.0,5.0,105.0,2019-06-09,1.21,3.0,34.0
Spacious 1 BDRM w/ Backyard of DREAMS in Manhattan,6279234.0,Marissa,2,Harlem,40.80948,-73.95514,0,148.0,4.0,1.0,2019-07-08,1.0,1.0,8.0
Room in 4 bed 2 bath by J train with Queen bed,10387090.0,Luis Enrique,1,Bedford-Stuyvesant,40.68296,-73.91255,1,36.0,15.0,1.0,2019-05-13,0.52,5.0,343.0
Large Modern Apartment w Backyard,8996900.0,Kristine,1,Kensington,40.64735,-73.97611,0,150.0,4.0,1.0,2015-12-02,0.02,1.0,0.0
"Private, Sunny Room—Prime Williamsburg Condo/Loft",510745.0,Justin,1,Williamsburg,40.7137,-73.94813,1,80.0,2.0,1.0,2017-10-20,0.05,2.0,0.0
Brownstone apartment in Bed Stuy,26295451.0,Jessica,1,Bedford-Stuyvesant,40.68743,-73.93045,1,150.0,1.0,14.0,2017-05-21,0.4,1.0,0.0
A private bedroom in the heart of Manhattan,100836839.0,Elizabeth,2,Midtown,40.74983,-73.98646,1,70.0,5.0,1.0,2017-09-27,0.05,1.0,0.0
Large Williamsburg (Brooklyn) Room,20587549.0,Nick,1,Williamsburg,40.70784,-73.94698,1,90.0,2.0,15.0,2019-06-30,0.41,1.0,188.0
Exquisite English Tudor with a touch of class,170445076.0,Sean,3,Queens Village,40.72249,-73.75486,0,200.0,2.0,58.0,2019-07-07,3.6,1.0,152.0
Loft Suite @ Box House Hotel,417504.0,The Box House Hotel,1,Greenpoint,40.73857,-73.95299,0,199.0,3.0,54.0,2019-06-10,0.61,28.0,60.0
Comfortable Room in 3 Bedroom Apartment,38288406.0,Justin,3,Ridgewood,40.70063,-73.90474,1,30.0,15.0,0.0,2019-06-23,0.72,1.0,0.0
Cozy room with Private porch,69977115.0,Jacob,1,Bensonhurst,40.61649,-73.99043,1,79.0,2.0,1.0,2016-07-18,0.03,4.0,179.0
"Amazing 1 BR/BA in HARLEM, NY",110142237.0,Eric,2,Harlem,40.80487,-73.95752,0,90.0,3.0,32.0,2019-07-02,1.69,1.0,1.0
Spacious 2BR Manhattan/NYC  apt. Mins. to time sq.,55711801.0,Le,2,Harlem,40.82297,-73.94882,0,139.0,1.0,0.0,2019-06-23,0.72,1.0,29.0
No.3,257683179.0,H Ai,3,Flushing,40.75019,-73.81435,1,45.0,1.0,1.0,2019-07-06,1.0,6.0,83.0
Stylish East Village Studio near Union Sq,3541594.0,Jennifer,2,East Village,40.73057,-73.99034,0,200.0,2.0,12.0,2019-06-09,1.52,1.0,0.0
Quiet & Close to All + Washer/Dryer in Chelsea,7245581.0,Michael,2,Chelsea,40.75045,-73.99662,0,93.0,110.0,12.0,2019-02-18,0.26,19.0,329.0
"Huge, Sunny, Open Loft in Brooklyn",1633100.0,Ana,1,Bushwick,40.70462,-73.9228,0,120.0,2.0,42.0,2019-06-20,0.48,1.0,238.0
Water Front Duplex with Amazing Views and Parking.,132163538.0,Alex,1,Bay Ridge,40.6348,-74.03788,0,155.0,28.0,0.0,2019-06-23,0.72,1.0,339.0
Large bright room in Brooklyn artist's apartment!,6753972.0,July,1,Bedford-Stuyvesant,40.68362,-73.95692,1,60.0,1.0,1.0,2019-05-26,0.67,1.0,95.0
"SHARE;Cheapest,Silent,Clean and Safe in New York",172837223.0,Erin V.,3,Sunnyside,40.73307,-73.91995,2,30.0,1.0,51.0,2019-06-16,3.02,3.0,140.0
Room at 1br apt,7040483.0,Agata,3,Astoria,40.76107,-73.91364,1,69.0,5.0,20.0,2019-06-23,2.43,1.0,37.0
Fully-furnished modern apartment,97907084.0,Kim,0,Wakefield,40.90281,-73.85201,0,28.0,1.0,0.0,2019-06-23,0.72,1.0,0.0
Amazingly lit with views over entire manhattan.,4602926.0,Michael,1,Clinton Hill,40.69325,-73.96732,0,175.0,2.0,0.0,2019-06-23,0.72,1.0,6.0
"Beautiful, Comfortable Apt. in Convenient Location",182461.0,Jose,3,Ozone Park,40.67488,-73.85568,0,110.0,3.0,81.0,2019-06-30,3.33,2.0,9.0
Beautiful Chelsea townhouse bedroom,236668588.0,Jen,2,Chelsea,40.74679,-74.00263,1,115.0,1.0,3.0,2019-06-30,1.11,2.0,113.0
Nice bedroom in Brooklyn,97118521.0,Lara,1,Bedford-Stuyvesant,40.69512,-73.94946,1,50.0,4.0,5.0,2019-04-27,0.23,1.0,0.0
Park Slope Brooklyn brownstone apt,7374372.0,Julie,1,Park Slope,40.67374,-73.97976,0,149.0,6.0,108.0,2019-07-06,2.38,1.0,268.0
Private room in 3rd bedroom apt.,27212322.0,Krupa,2,Hell's Kitchen,40.75563,-73.99424,1,1450.0,1.0,0.0,2019-06-23,0.72,1.0,0.0
Lahore Suite at Incentra Village House,241889662.0,Incentra,2,West Village,40.73897,-74.00346,1,999.0,1.0,3.0,2019-05-19,0.7,5.0,341.0
Charming Ground Floor,113558977.0,Joe,3,Rego Park,40.72651,-73.86173,0,40.0,1.0,101.0,2019-06-20,3.47,2.0,74.0
"2 Bedroom in Carroll Gardens West, minimum 1 month",101924.0,Seth,1,Columbia St,40.68727,-74.00352,0,107.0,30.0,35.0,2019-07-04,0.55,1.0,18.0
Heart of Midtown Manhattan,260425153.0,Park Lane,2,Midtown,40.76395,-73.97622,1,450.0,1.0,3.0,2019-06-16,2.43,14.0,365.0
Sunny Private Sanctuary w High Ceilings,234270791.0,April G,1,Bushwick,40.6961,-73.9307,1,64.0,3.0,1.0,2019-05-22,0.63,3.0,178.0
Beautiful duplex with terrace. Up to 6 people.,273347409.0,Alex,2,Financial District,40.70485,-74.00822,0,430.0,3.0,0.0,2019-06-23,0.72,1.0,42.0
Astoria- Boho style bedroom with skylight,11406067.0,Karina,3,Ditmars Steinway,40.77376,-73.90484,1,80.0,2.0,17.0,2019-06-24,1.36,1.0,24.0
☆☆New Discount☆☆ Beautiful Room / Next to Subway,3233986.0,Daniel,3,Astoria,40.75703,-73.91666,1,61.0,4.0,107.0,2019-06-22,1.29,2.0,335.0
Cozy Artists Apartment in Central Harlem,218793561.0,Dmitri,2,East Harlem,40.80771,-73.93853,1,66.0,1.0,21.0,2019-06-20,2.63,1.0,64.0
"Great Private Room in Midtown, great Location!",193364875.0,Silva,2,Hell's Kitchen,40.76311,-73.98704,1,98.0,2.0,64.0,2019-07-05,5.65,1.0,54.0
Prime Carroll Gardens Apartment,35027358.0,Thomas,1,Carroll Gardens,40.68268,-73.99687,0,172.0,2.0,90.0,2019-06-30,2.31,1.0,87.0
Cozy clean quiet room with lock and key #1,146132198.0,Ronald And Cookie,0,Wakefield,40.89393,-73.8581,1,50.0,2.0,14.0,2019-07-01,3.59,2.0,132.0
"Bright, spacious room with breakfast in New York",218762580.0,Heidrun,2,Harlem,40.8258,-73.95392,1,120.0,3.0,3.0,2019-03-26,0.36,1.0,295.0
THE WHITE HOUSE BEDROOM 2,269775225.0,Dennis,0,Port Morris,40.80087,-73.91635,1,100.0,3.0,0.0,2019-06-23,0.72,2.0,365.0
Nice and quiet apt Bdway/Times Sq.,44530717.0,Vincent,2,Hell's Kitchen,40.75965,-73.99035,0,224.0,6.0,1.0,2016-05-30,0.03,1.0,0.0
Beautiful private bedroom in UES/East Harlem,41348157.0,Petra,2,East Harlem,40.7929,-73.9391,1,90.0,2.0,2.0,2019-06-23,2.0,3.0,0.0
Sunny Loft in Clinton Hill,11458977.0,Robin,1,Clinton Hill,40.68699,-73.9639,0,120.0,3.0,88.0,2019-06-26,2.04,1.0,49.0
Cozy with Great location !!!,43719073.0,Nora,1,Sheepshead Bay,40.59878,-73.95425,2,35.0,1.0,104.0,2019-07-08,2.45,5.0,352.0
Large BR in Spacious Artist Loft,7519175.0,Ira,1,Bushwick,40.7066,-73.92115,1,75.0,3.0,0.0,2019-06-23,0.72,1.0,0.0
